,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
158,197061,https://sofifa.com/player/197061/joel-matip/220002,J. Matip,Joël Andre Job Matip,CB,83,83,30500000.0,130000.0,29,1991-08-08,194,90,9.0,Liverpool,English Premier League,1.0,RCB,32.0,,2016-07-01,2024.0,103,Cameroon,,,,Right,2,2,2,Medium/Medium,Lean (185+),Yes,56400000.0,"#Aerial Threat, #Tactician ",Injury Prone,58.0,46.0,68.0,68.0,85.0,78.0,54,36,84,77,50,69,63,22,74,72,50,65,51,84,42,66,75,69,81,48,84,86,48,72,42,80,86,86,81,11,15,10,7,10,,62+2,62+2,62+2,62,64,64,64,62,66+2,66+2,66+2,65+2,72+2,72+2,72+2,65+2,74+2,80+2,80+2,80+2,74+2,76+2,83,83,83,76+2,19+2,https://cdn.sofifa.net/players/197/061/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/cm.png
256,224458,https://sofifa.com/player/224458/diogo-jose-teixeira-da-silva/220002,Diogo Jota,Diogo José Teixeira da Silva,"LW, ST",82,87,46000000.0,120000.0,24,1996-12-04,178,73,9.0,Liverpool,English Premier League,1.0,SUB,20.0,,2020-09-19,2025.0,38,Portugal,1354.0,LW,21.0,Right,5,4,2,High/High,Normal (170-185),Yes,88600000.0,#Acrobat,Speed Dribbler (AI),84.0,81.0,73.0,85.0,57.0,77.0,71,84,77,75,78,85,77,58,71,85,88,81,87,84,86,84,76,81,71,75,85,56,85,75,63,83,54,57,45,7,12,15,9,11,,82+2,82+2,82+2,82,82,82,82,82,81+2,81+2,81+2,81+2,77+2,77+2,77+2,81+2,69+2,69+2,69+2,69+2,69+2,68+2,65+2,65+2,65+2,68+2,18+2,https://cdn.sofifa.net/players/224/458/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1354/60.png,https://cdn.sofifa.net/flags/pt.png
257,225100,https://sofifa.com/player/225100/joe-gomez/220002,J. Gomez,Joe Gomez,CB,82,88,43500000.0,100000.0,24,1997-05-23,188,77,9.0,Liverpool,English Premier League,1.0,SUB,12.0,,2015-06-20,2024.0,14,England,,,,Right,3,3,2,Medium/Medium,Unique,Yes,89200000.0,,"Long Throw-in, Injury Prone",81.0,30.0,66.0,69.0,83.0,78.0,69,26,74,78,24,67,41,29,65,73,75,85,63,82,65,41,76,67,83,26,81,84,51,60,26,74,83,84,82,8,13,14,7,7,,58+2,58+2,58+2,64,62,62,62,64,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,78+2,78+2,78+2,78+2,78+2,79+2,81+2,81+2,81+2,79+2,17+2,https://cdn.sofifa.net/players/225/100/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
461,220971,https://sofifa.com/player/220971/naby-keita/220002,N. Keïta,Naby Keïta,CM,80,83,27500000.0,110000.0,26,1995-02-10,172,64,9.0,Liverpool,English Premier League,1.0,SUB,8.0,,2018-07-01,2023.0,118,Guinea,,,,Right,4,4,2,Medium/Medium,Lean (170-185),Yes,52900000.0,#Acrobat,"Injury Prone, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",70.0,73.0,75.0,85.0,65.0,66.0,62,74,42,83,71,85,64,70,75,86,77,65,88,80,90,76,52,73,59,73,78,76,74,80,58,81,68,64,62,7,14,15,14,9,,73+2,73+2,73+2,78,78,78,78,78,80+2,80+2,80+2,78+2,79+2,79+2,79+2,78+2,73+2,75+2,75+2,75+2,73+2,70+2,66+2,66+2,66+2,70+2,19+2,https://cdn.sofifa.net/players/220/971/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gn.png
510,138412,https://sofifa.com/player/138412/james-milner/220002,J. Milner,James Philip Milner,"CM, LB, RB",79,79,7000000.0,76000.0,35,1986-01-04,175,70,9.0,Liverpool,English Premier League,1.0,SUB,7.0,,2015-07-01,2022.0,14,England,,,,Right,4,3,2,Medium/High,Stocky (170-185),Yes,13000000.0,,"Leadership, Team Player",56.0,70.0,81.0,77.0,77.0,75.0,85,62,65,82,76,76,81,75,80,81,60,52,68,84,72,82,62,77,70,70,86,78,71,77,89,84,77,80,78,12,9,10,8,6,,71+2,71+2,71+2,74,74,74,74,74,75+2,75+2,75+2,75+2,79,79,79,75+2,78+1,80-1,80-1,80-1,78+1,76+2,76+2,76+2,76+2,76+2,17+2,https://cdn.sofifa.net/players/138/412/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
549,198784,https://sofifa.com/player/198784/alex-oxlade-chamberlain/220002,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,CM,79,79,18500000.0,100000.0,27,1993-08-15,175,70,9.0,Liverpool,English Premier League,1.0,SUB,15.0,,2017-08-31,2023.0,14,England,,,,Right,4,4,2,High/High,Normal (170-185),Yes,34200000.0,,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",81.0,74.0,77.0,82.0,67.0,74.0,78,70,39,80,60,83,73,60,75,83,82,81,79,78,87,83,69,80,70,78,77,73,79,79,69,77,68,72,68,16,9,6,9,9,,74+2,74+2,74+2,80-1,79,79,79,80-1,80-1,80-1,80-1,80-1,79,79,79,80-1,76+2,75+2,75+2,75+2,76+2,74+2,69+2,69+2,69+2,74+2,18+2,https://cdn.sofifa.net/players/198/784/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
832,237678,https://sofifa.com/player/237678/ibrahima-konate/220002,I. Konaté,Ibrahima Konaté,CB,78,86,29500000.0,73000.0,22,1999-05-25,194,95,9.0,Liverpool,English Premier League,1.0,SUB,5.0,,2021-07-01,2026.0,18,France,,,,Right,2,3,2,Medium/High,Normal (185+),Yes,60500000.0,#Aerial Threat,Injury Prone,71.0,34.0,57.0,67.0,80.0,76.0,38,29,77,75,28,67,32,27,69,69,67,75,60,71,54,45,74,61,83,31,77,78,37,51,41,74,76,85,79,9,7,9,9,15,,55+2,55+2,55+2,57,57,57,57,57,60+2,60+2,60+2,60+2,64+2,64+2,64+2,60+2,69+2,74+2,74+2,74+2,69+2,72+2,78+2,78+2,78+2,72+2,17+2,https://cdn.sofifa.net/players/237/678/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/fr.png
1294,213135,https://sofifa.com/player/213135/divock-origi/220002,D. Origi,Divock Okoth Origi,"ST, LW",76,79,10000000.0,88000.0,26,1995-04-18,189,90,9.0,Liverpool,English Premier League,1.0,SUB,27.0,,2014-07-29,2024.0,7,Belgium,,,,Right,4,4,2,High/Medium,Lean (185+),Yes,19300000.0,,"Flair, Team Player, Technical Dribbler (AI)",79.0,75.0,67.0,75.0,27.0,74.0,69,76,74,73,70,76,54,40,59,77,73,84,71,76,64,80,76,70,77,70,69,28,77,69,65,77,16,24,18,15,13,16,11,15,,76+2,76+2,76+2,75,76,76,76,75,74+2,74+2,74+2,74+2,67+2,67+2,67+2,74+2,54+2,52+2,52+2,52+2,54+2,51+2,46+2,46+2,46+2,51+2,21+2,https://cdn.sofifa.net/players/213/135/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/be.png
1618,203775,https://sofifa.com/player/203775/loris-karius/220002,L. Karius,Loris Karius,GK,75,78,5000000.0,61000.0,28,1993-06-22,189,87,9.0,Liverpool,English Premier League,1.0,RES,22.0,,2016-07-01,2022.0,21,Germany,,,,Right,3,1,2,Medium/Medium,Normal (185+),Yes,9600000.0,,Rushes Out Of Goal,,,,,,,14,18,14,38,14,16,12,14,41,23,55,54,51,72,43,56,74,36,64,16,21,13,8,50,19,60,9,11,13,80,68,75,72,79,55.0,31+2,31+2,31+2,30,32,32,32,30,33+2,33+2,33+2,32+2,33+2,33+2,33+2,32+2,27+2,29+2,29+2,29+2,27+2,27+2,25+2,25+2,25+2,27+2,74+2,https://cdn.sofifa.net/players/203/775/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/de.png
1797,226627,https://sofifa.com/player/226627/takumi-minamino/220002,T. Minamino,南野 拓実,"RW, ST, LM",75,76,6500000.0,84000.0,26,1995-01-16,174,67,9.0,Liverpool,English Premier League,1.0,RES,18.0,,2020-01-01,2024.0,163,Japan,,,,Right,4,3,1,High/Medium,Lean (170-185),No,12500000.0,,Solid Player,79.0,73.0,69.0,81.0,36.0,63.0,66,75,50,71,70,81,73,69,63,78,83,75,89,71,86,71,76,76,55,73,61,49,70,70,72,79,32,30,26,9,12,8,15,14,,71+2,71+2,71+2,75,74,74,74,75,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,59+2,56+2,56+2,56+2,59+2,55+2,47+2,47+2,47+2,55+2,19+2,https://cdn.sofifa.net/players/226/627/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/jp.png
2046,194911,https://sofifa.com/player/194911/adrian-san-miguel-castillo/220002,Adrián,Adrián San Miguel del Castillo,GK,74,74,725000.0,53000.0,34,1987-01-03,190,80,9.0,Liverpool,English Premier League,1.0,RES,13.0,,2019-08-05,2023.0,45,Spain,,,,Right,2,1,2,Medium/Medium,Normal (185+),Yes,1300000.0,,Saves with Feet,,,,,,,12,16,15,21,12,15,12,17,32,23,46,44,53,71,48,51,69,38,63,20,38,25,12,32,44,59,18,19,14,77,70,68,72,77,45.0,29+2,29+2,29+2,26,28,28,28,26,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,27+2,29+2,29+2,29+2,27+2,27+2,29+2,29+2,29+2,27+2,73+1,https://cdn.sofifa.net/players/194/911/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/es.png
2297,232223,https://sofifa.com/player/232223/konstantinos-tsimikas/220002,K. Tsimikas,Konstantinos Tsimikas,"LB, LWB",74,78,5500000.0,62000.0,25,1996-05-12,179,68,9.0,Liverpool,English Premier League,1.0,SUB,21.0,,2020-08-10,2025.0,22,Greece,1338.0,LB,21.0,Left,3,3,1,High/High,Normal (170-185),Yes,10600000.0,,Speed Dribbler (AI),83.0,57.0,69.0,72.0,69.0,74.0,76,49,53,69,39,71,73,68,66,72,87,80,78,72,73,69,74,77,71,64,76,68,69,64,54,67,69,73,71,8,12,8,13,10,,65+2,65+2,65+2,70,68,68,68,70,69+2,69+2,69+2,71+2,69+2,69+2,69+2,71+2,73+2,70+2,70+2,70+2,73+2,72+2,69+2,69+2,69+2,72+2,17+2,https://cdn.sofifa.net/players/232/223/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1338/60.png,https://cdn.sofifa.net/flags/gr.png
3001,240926,https://sofifa.com/player/240926/nathaniel-phillips/220002,N. Phillips,Nathaniel Phillips,CB,73,79,4400000.0,52000.0,24,1997-03-21,190,84,9.0,Liverpool,English Premier League,1.0,SUB,47.0,,2017-08-01,2025.0,14,England,,,,Right,2,2,1,Low/Medium,Normal (185+),Yes,9000000.0,,,53.0,30.0,49.0,51.0,73.0,78.0,30,23,78,66,30,48,29,35,58,52,51,54,44,69,55,49,78,69,82,21,80,69,28,39,45,62,74,75,70,9,6,6,12,10,,48+2,48+2,48+2,45,46,46,46,45,47+2,47+2,47+2,49+2,54+2,54+2,54+2,49+2,61+2,67+2,67+2,67+2,61+2,64+2,73+2,73+2,73+2,64+2,16+2,https://cdn.sofifa.net/players/240/926/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
3017,242434,https://sofifa.com/player/242434/curtis-jones/220002,C. Jones,Curtis Jones,CM,73,85,7500000.0,49000.0,20,2001-01-30,185,75,9.0,Liverpool,English Premier League,1.0,SUB,17.0,,2018-02-01,2025.0,14,England,,,,Right,4,4,1,High/Medium,Lean (185+),Yes,15400000.0,,Flair,67.0,65.0,70.0,76.0,63.0,70.0,63,63,50,75,55,77,66,47,72,78,69,66,74,71,70,71,57,81,66,68,70,65,67,73,60,77,64,66,58,6,13,7,11,7,,67+2,67+2,67+2,71,71,71,71,71,73+2,73+2,73+2,72+2,73+2,73+2,73+2,72+2,69+2,70+2,70+2,70+2,69+2,67+2,64+2,64+2,64+2,67+2,16+2,https://cdn.sofifa.net/players/242/434/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
3040,246174,https://sofifa.com/player/246174/harvey-elliott/220002,H. Elliott,Harvey Elliott,"RW, CM",73,87,7000000.0,29000.0,18,2003-04-04,170,64,9.0,Liverpool,English Premier League,1.0,SUB,67.0,,2019-07-28,2025.0,14,England,,,,Left,4,4,1,Medium/Medium,Lean (170-),No,17300000.0,,"Finesse Shot, Flair, Outside Foot Shot",79.0,62.0,71.0,78.0,30.0,41.0,72,64,40,73,48,77,56,57,68,77,82,77,87,69,86,60,40,66,33,62,32,30,67,76,59,70,32,29,21,10,10,6,14,7,,64+2,64+2,64+2,73,71,71,71,73,73+2,73+2,73+2,73+2,68+2,68+2,68+2,73+2,56+2,51+2,51+2,51+2,56+2,51+2,38+2,38+2,38+2,51+2,17+2,https://cdn.sofifa.net/players/246/174/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/gb-eng.png
7212,243057,https://sofifa.com/player/243057/neco-williams/220002,N. Williams,Neco Williams,RB,68,82,2800000.0,21000.0,20,2001-04-13,183,72,9.0,Liverpool,English Premier League,1.0,RES,76.0,,2018-04-13,2025.0,50,Wales,1367.0,SUB,3.0,Right,3,2,1,Medium/Medium,Lean (170-185),Yes,6900000.0,,,74.0,36.0,61.0,68.0,63.0,59.0,69,35,50,67,36,66,52,39,61,67,76,73,73,66,78,42,61,64,56,29,61,64,42,48,45,64,65,66,63,10,11,7,14,15,,52+2,52+2,52+2,60,56,56,56,60,58+2,58+2,58+2,62+2,60+2,60+2,60+2,62+2,67+2,64+2,64+2,64+2,67+2,66+2,62+2,62+2,62+2,66+2,18+2,https://cdn.sofifa.net/players/243/057/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/1367/60.png,https://cdn.sofifa.net/flags/gb-wls.png
